DT_MAJ_GDUNO,CD_ORGNS,NOM_COURT,NOM_OFFCL,ADRS_GEO_L1_GDUNO,ADRS_GEO_L2_GDUNO,CD_MUNCP,NOM_MUNCP,STAT_MUNCP,CD_POSTL_GDUNO,TYPE_ORGNS,RESEAU,SITE_WEB,COORD_X_LL84,COORD_Y_LL84,NO_TEL
,312500,École Sainte-Anne,École Sainte-Anne,"6855, 13e Avenue",,66023,Montréal,V,H1X2Z3,Établissement d'enseignement privé,Privé,https://primaire.rosemont.sainteanne.ca/,-73.591513,45.55864,514 725-4179
,313500,École Sainte-Famille,École Sainte-Famille,"10425, boulevard Guillaume-Couture",,25213,Lévis,V,G6V9R6,Établissement d'enseignement privé,Privé,,-71.089288,46.826604,418 837-3028
,314500,Éc. sec. de Bromptonville,École secondaire de Bromptonville,"125, rue du Frère-Théode",,43027,Sherbrooke,V,J1C0S3,Établissement d'enseignement privé,Privé,https://ecolesecondairebromptonville.com/,-71.953106,45.471538,819 846-2738
,315500,École secondaire du Verbe Divin,École secondaire du Verbe Divin,"1021, rue Cowie C.P. 786",,47017,Granby,V,J2G8W8,Établissement d'enseignement privé,Privé,https://verbedivin.com,-72.773203,45.396505,450 378-1074
,316500,École secondaire Duval,École secondaire Duval inc.,"260, boulevard Henri-Bourassa Est",,66023,Montréal,V,H3L1B8,Établissement d'enseignement privé,Privé,https://www.ecoleduval.com,-73.669291,45.552628,514 382-6070
,317500,École secondaire privée François-Bourrin,École secondaire privée François-Bourrin,"50, avenue des Cascades",,23027,Québec,V,G1E2J7,Établissement d'enseignement privé,Privé,https://ecolefrancoisbourrin.ca,-71.19609,46.861623,418 661-6978
,321500,Collège Boisbriand 2016,Collège Boisbriand 2016,"4747, rue Ambroise-Lafortune",,73005,Boisbriand,V,J7H0A4,Établissement d'enseignement privé,Privé,https://www.collegeboisbriand.qc.ca,-73.86743,45.640792,450 437-0009
,322500,Collège Letendre,Collège Letendre,"1000, boulevard de l'Avenir",,65005,Laval,V,H7N6J6,Établissement d'enseignement privé,Privé,https://www.collegeletendre.qc.ca,-73.722018,45.560206,450 688-9933
,323500,Éc. sec. Marcellin-Champagnat,École secondaire Marcellin-Champagnat,"14, chemin des Patriotes Est",,56083,Saint-Jean-sur-Richelieu,V,J2X5P9,Établissement d'enseignement privé,Privé,https://www.esmc.qc.ca,-73.247583,45.317783,450 347-5343
,324500,Collège d'Anjou,Collège d'Anjou,"11000, rue Renaude-Lapointe",,66023,Montréal,V,H1J2V7,Établissement d'enseignement privé,Privé,https://www.collegedanjou.qc.ca,-73.592351,45.611614,514 322-8111
,326500,École secondaire Mont-Saint-Sacrement,École secondaire Mont-Saint-Sacrement,"200, boulevard Saint-Sacrement",,22025,Saint-Gabriel-de-Valcartier,M,G0A4S0,Établissement d'enseignement privé,Privé,https://www.mss.qc.ca,-71.507468,46.978578,418 844-3771
,327500,Collège Notre-Dame de Rivière-du-Loup,Collège Notre-Dame de Rivière-du-Loup,"56, rue Saint-Henri",,12072,Rivière-du-Loup,V,G5R2A1,Établissement d'enseignement privé,Privé,https://www.collegenotredame.ca,-69.536045,47.822228,418 862-8257
,335500,Coll. St-Joseph de Hull,Collège Saint-Joseph de Hull,"174, rue Notre-Dame-de-l'ÎIe",,81017,Gatineau,V,J8X3T4,Établissement d'enseignement privé,Privé,https://www.collegestjoseph.ca,-75.710378,45.4314,819 776-3123
,336500,Éc. sec. St-Joseph St-Hyac.,École secondaire Saint-Joseph de Saint-Hyacinthe,"2875, ave Bourdages Nord",,54048,Saint-Hyacinthe,V,J2S5S3,Établissement d'enseignement privé,Privé,https://www.essj.qc.ca,-72.964219,45.632773,450 774-3775
,337500,Collège Saint-Sacrement,Collège Saint-Sacrement,"901, rue Saint-Louis",,64008,Terrebonne,V,J6W1K1,Établissement d'enseignement privé,Privé,https://www.collegesaintsacrement.qc.ca,-73.637611,45.696241,450 471-6615
,338500,École Selwyn House,École Selwyn House,"95, chemin de la Côte-Saint-Antoine",,66032,Westmount,V,H3Y2H8,Établissement d'enseignement privé,Privé,https://www.selwyn.ca,-73.59748,45.486127,514 931-9481
,345500,École Vanguard,École Vanguard,"5935, chemin de la Côte-de-Liesse",,66023,Montréal,V,H4T1C3,Établissement d'enseignement privé,Privé,https://www.vanguardquebec.qc.ca,-73.683732,45.491545,514 747-5500
,347500,École de la Synergie,École de la Synergie,"7445, avenue de Chester",,66023,Montréal,V,H4V1M4,Établissement d'enseignement privé,Privé,https://www.esynergie.ca,-73.654801,45.459604,514 484-5084
,348500,Éducation Plus,Éducation Plus,"1275, rue Hodge",,66023,Montréal,V,H4N2B1,Établissement d'enseignement privé,Privé,https://edplus.ca,-73.667285,45.509932,514 733-9600
,349500,Externat Mont-Jésus-Marie,Externat Mont-Jésus-Marie,"2755, chemin de la Côte-Sainte-Catherine",,66023,Montréal,V,H3T1B5,Établissement d'enseignement privé,Privé,https://www.montjesusmarie.com,-73.62201,45.506755,514 272-1035
,350500,Externat Sacré-Coeur,Externat Sacré-Coeur,"535, rue Lefrançois ",,73020,Rosemère,V,J7A4R5,Établissement d'enseignement privé,Privé,https://externat.qc.ca,-73.790121,45.654463,450 621-6720
,351500,Externat St-Jean-Berchmans,Externat St-Jean-Berchmans,"2303, chemin Saint-Louis",,23027,Québec,V,G1T1R5,Établissement d'enseignement privé,Privé,https://www.externatsjb.com,-71.259302,46.770633,418 687-5871
,352500,Saint-Jean-Eudes,Saint-Jean-Eudes,"650, avenue du Bourg-Royal",,23027,Québec,V,G2L1M8,Établissement d'enseignement privé,Privé,https://www.saint-jean-eudes.com,-71.243453,46.876959,418 627-1550
,364500,Académie adventiste Greaves,Académie adventiste Greaves,"2330, avenue West Hill",,66023,Montréal,V,H4B2S4,Établissement d'enseignement privé,Privé,https://www.greavesadventistacademy.com,-73.623176,45.463906,514 486-5092
,365500,Institut d'enseignement de Sept-Îles,Institut d'enseignement de Sept-Îles,"737, avenue Gamache",,97007,Sept-Îles,V,G4R2J8,Établissement d'enseignement privé,Privé,https://www.iesi.in,-66.390047,50.217576,418 968-9104
,367500,Collège Reine-Marie,Collège Reine-Marie,"9300, boulevard Saint-Michel",,66023,Montréal,V,H1Z3H1,Établissement d'enseignement privé,Privé,https://www.reine-marie.qc.ca,-73.632715,45.572662,514 382-0484
,368500,Institut Saint-Joseph,Institut Saint-Joseph,"900, avenue Joffre",,23027,Québec,V,G1S4Z3,Établissement d'enseignement privé,Privé,https://www.st-joseph.qc.ca,-71.245114,46.79577,418 688-0736
,374500,Institut secondaire Keranna,Institut secondaire Keranna,"6205, boulevard des Chenaux",,37067,Trois-Rivières,V,G8Y6Z1,Établissement d'enseignement privé,Privé,https://www.keranna.qc.ca,-72.604889,46.358225,819 378-4833
,375500,Institut technique Aviron de Montréal,Institut technique Aviron de Montréal,"5460, avenue Royalmount",,66072,Mont-Royal,V,H4P1H7,Établissement d'enseignement privé,Privé,https://www.avirontech.com,-73.662942,45.49618,514 739-3010
,377500,Juvénat Notre-Dame du Saint-Laurent,Juvénat Notre-Dame du Saint-Laurent,"30, rue du Juvénat",,25213,Lévis,V,G6W7X2,Établissement d'enseignement privé,Privé,https://www.jnd.qc.ca,-71.235933,46.761795,418 839-9592
,380500,L'Académie Centennial,L'Académie Centennial,"2065, rue Sherbrooke Ouest",,66023,Montréal,V,H3H1G6,Établissement d'enseignement privé,Privé,https://www.centennial.qc.ca,-73.586757,45.493507,514 486-5533
,382500,Académie hébraïque inc.,Académie hébraïque inc.,"5700, avenue Kellert",,66058,Côte-Saint-Luc,V,H4W1T4,Établissement d'enseignement privé,Privé,https://www.ha-mtl.org,-73.661623,45.472582,514 489-5321
,384500,L'École Ali Ibn Abi Talib,L'École Ali Ibn Abi Talib,"1610, rue De Beauharnois Ouest",,66023,Montréal,V,H4N1J5,Établissement d'enseignement privé,Privé,https://www.ecoleali.com,-73.65238,45.528769,514 744-0801
,385500,L'École arménienne Sourp Hagop,L'École arménienne Sourp Hagop,"3400, rue Nadon ",,66023,Montréal,V,H4J1P5,Établissement d'enseignement privé,Privé,https://www.ecolesourphagop.com,-73.695634,45.531406,514 332-1373
,386500,L'École des Ursulines de Québec,L'École des Ursulines de Québec,"4, rue du Parloir",,23027,Québec,V,G1R4M5,Établissement d'enseignement privé,Privé,https://www.euq.ca,-71.208191,46.811718,418 692-2612
,388500,L'École Sacré-Coeur de Montréal,L'École Sacré-Coeur de Montréal,"3635, avenue Atwater",,66023,Montréal,V,H3H1Y4,Établissement d'enseignement privé,Privé,https://www.sacredheart.qc.ca,-73.587554,45.49519,514 937-2845
,394500,École à pas de géant,École à pas de géant,"4400, rue Molson",,66023,Montréal,V,H1Y0A3,Établissement d'enseignement privé,Privé,https://www.giantstepsmontreal.com,-73.567038,45.541351,514 935-1911
,395500,École Lucien-Guilbault,École Lucien-Guilbault,"3165, rue de Louvain Est",,66023,Montréal,V,H1Z1J7,Établissement d'enseignement privé,Privé,https://www.lucien-guilbault.ca,-73.631419,45.572536,514 334-2189
,396500,La Réussite inc.,La Réussite inc.,"280, boulevard du Fort-Saint-Louis",Bureau 105,58033,Boucherville,V,J4B1S1,Établissement d'enseignement privé,Privé,https://www.lareussite.qc.ca,-73.454727,45.595306,450 655-4275
,397500,La maternelle de Marie-Claire,La maternelle de Marie-Claire inc.,"18190, boulevard Elkas",,66102,Kirkland,V,H9J3Y4,Établissement d'enseignement privé,Privé,https://maternellemarie-claire.ca/,-73.8835,45.443188,514 697-9995
,398500,La Petite Académie,La Petite Académie,"1090, avenue Pratte",,54048,Saint-Hyacinthe,V,J2S4B6,Établissement d'enseignement privé,Privé,https://www.lapetiteacademie.qc.ca,-72.944032,45.634087,450 771-0644
,401500,Collège François-de-Laval,Collège François-de-Laval,"6, rue de la Vieille-Université",,23027,Québec,V,G1R5X8,Établissement d'enseignement privé,Privé,https://www.collegefdl.ca,-71.206342,46.815282,418 694-1020
,403500,Les écoles communautaires Skver,Les écoles communautaires Skver,"940, avenue Outremont",,66023,Montréal,V,H2V4P8,Établissement d'enseignement privé,Privé,,-73.617029,45.520525,514 274-6252
,404500,Les Éc. juives pop. et les Éc. Peretz,Les Écoles juives populaires et les Écoles Peretz inc.,"6502, chemin Kildare",,66058,Côte-Saint-Luc,V,H4W3B8,Établissement d'enseignement privé,Privé,https://jppsbialik.ca,-73.657623,45.479062,514 731-3841
,405500,Les Filles de Sainte-Marie de Leuca,Les Filles de Sainte-Marie de Leuca,"125, rue Coulonge ",,58227,Longueuil,V,J4G1H7,Établissement d'enseignement privé,Privé,,-73.483329,45.569395,450 674-9805
,407500,Séminaire Marie-Reine-du-Clergé,Séminaire Marie-Reine-du-Clergé,"1569, route 169",,93012,Métabetchouan–Lac-à-la-Croix,V,G8G1A8,Établissement d'enseignement privé,Privé,https://www.autentis.ca,-71.842669,48.438917,418 349-2816
,408500,Le Collège Lower Canada,Le Collège Lower Canada,"4090, avenue Royal",,66023,Montréal,V,H4A2M5,Établissement d'enseignement privé,Privé,https://www.lcc.ca,-73.624112,45.470467,514 482-9797
,410500,École secondaire Loyola,École secondaire Loyola,"7272, rue Sherbrooke Ouest ",,66023,Montréal,V,H4B1R2,Établissement d'enseignement privé,Privé,https://www.loyola.ca,-73.638939,45.45667,514 486-1101
,426500,Académie des Sacrés-Coeurs,Académie des Sacrés-Coeurs,"1575, rang des Vingt",,58037,Saint-Bruno-de-Montarville,V,J3V4P6,Établissement d'enseignement privé,Privé,https://www.academiedessacrescoeurs.ca,-73.294793,45.541459,450 653-3681
,434500,Pens. du St-Nom de Marie,Pensionnat du Saint-Nom-de-Marie,"628, chemin de la Côte-Sainte-Catherine",,66023,Montréal,V,H2V2C5,Établissement d'enseignement privé,Privé,https://www.psnm.qc.ca,-73.613168,45.512101,514 735-5261
,435500,Pensionnat Notre-Dame-des-Anges,Pensionnat Notre-Dame-des-Anges,"5680, boulevard Rosemont",,66023,Montréal,V,H1T2H2,Établissement d'enseignement privé,Privé,https://www.pnda.qc.ca,-73.560567,45.57601,514 254-6447
,436500,Externat Saint-Coeur de Marie,Externat Saint-Coeur de Marie,"28, avenue des Cascades",,23027,Québec,V,G1E2J8,Établissement d'enseignement privé,Privé,https://www.externat-scm.ca,-71.200361,46.863594,418 663-0605
,444500,Séminaire de Chicoutimi,Séminaire de Chicoutimi - services éducatifs,"679, rue Chabanel ",,94068,Saguenay,V,G7H1Z7,Établissement d'enseignement privé,Privé,https://www.seminairedechicoutimi.ca,-71.037122,48.418128,418 549-0190
,445500,Collège Trinité,Collège Trinité,"1475, chemin des Vingt",,58037,Saint-Bruno-de-Montarville,V,J3V4P6,Établissement d'enseignement privé,Privé,https://www.collegetrinite.ca,-73.302317,45.535591,450 653-2409
,446500,Sém. de Sherbrooke,Séminaire de Sherbrooke,"195, rue Marquette ",,43027,Sherbrooke,V,J1H1L6,Établissement d'enseignement privé,Privé,https://www.seminaire-sherbrooke.qc.ca,-71.894516,45.403004,819 563-2050
,447500,Collège mariste de Québec,Collège mariste de Québec,"2315, chemin Saint-Louis ",,23027,Québec,V,G1T1R5,Établissement d'enseignement privé,Privé,https://www.collegemariste.ca,-71.26022,46.769994,418 651-4944
,448500,Séminaire du Sacré Coeur,Séminaire du Sacré Coeur,"2738, route 148",,76052,Grenville-sur-la-Rouge,M,J0V1B0,Établissement d'enseignement privé,Privé,https://www.ssc.quebec,-74.749585,45.646312,819 242-0957
,449500,Collège des Hauts Sommets,Collège des Hauts Sommets,"97, avenue de la Montagne",,21005,Saint-Tite-des-Caps,M,G0A4J0,Établissement d'enseignement privé,Privé,https://www.deshautssommets.com,-70.795672,47.109977,418 823-2759
,454500,Séminaire Saint-François,Séminaire Saint-François,"4900, rue Saint-Félix",,23072,Saint-Augustin-de-Desmaures,V,G3A0L4,Établissement d'enseignement privé,Privé,https://www.ss-f.com,-71.391597,46.736343,418 872-0611
